condition,episode,rso,uncertainty_km
correct,2,190,0.1826644390821457
correct,2,191,0.07352348417043686
correct,2,192,0.48175299167633057
correct,2,193,0.10510073602199554
correct,2,194,0.05999999865889549
correct,2,195,0.8005023002624512
correct,2,196,0.8893762826919556
correct,2,197,0.9044310450553894
correct,2,198,0.373234361410141
correct,2,199,0.23529939353466034
correct,2,200,0.1519458144903183
correct,2,201,0.866530179977417
correct,2,202,0.8737971186637878
correct,2,203,0.21247458457946777
correct,2,204,1.2820656299591064
correct,2,205,0.6375724673271179
correct,2,206,1.2648088932037354
correct,2,207,1.0956056118011475
correct,2,208,0.408911794424057
correct,2,209,0.17253544926643372
correct,2,210,0.5302669405937195
correct,2,211,0.3015475869178772
correct,2,212,0.6485862731933594
correct,2,213,0.4912005066871643
correct,2,214,0.5447678565979004
correct,2,215,0.6787104606628418
correct,2,216,0.17127668857574463
correct,2,217,0.2160070836544037
correct,2,218,1.155457615852356
correct,2,219,0.06785540282726288
correct,2,220,0.7709336280822754
correct,2,221,1.5706934928894043
correct,2,222,0.9848020672798157
correct,2,223,0.14032450318336487
correct,2,224,1.651921272277832
correct,2,225,0.7214345335960388
correct,2,226,0.12493492662906647
correct,2,227,0.18748918175697327
correct,2,228,0.9525448083877563
correct,2,229,0.34637004137039185
correct,2,230,1.5070408582687378
correct,2,231,0.6221721768379211
correct,2,232,0.17979931831359863
correct,2,233,0.37330883741378784
correct,2,234,0.45114919543266296
correct,2,235,0.8157509565353394
correct,2,236,0.5571415424346924
correct,2,237,0.2852553725242615
correct,2,238,1.9234455823898315
correct,2,239,1.7251847982406616
correct,3,0,1.0119060277938843
correct,3,1,0.6262471079826355
correct,3,2,0.3520995080471039
correct,3,3,0.8344801664352417
correct,3,4,0.5432436466217041
correct,3,5,0.3989276885986328
correct,3,6,0.33445265889167786
correct,3,7,1.101452350616455
correct,3,8,0.16253793239593506
correct,3,9,0.8275996446609497
correct,3,10,0.05999999865889549
correct,3,11,0.3626047968864441
correct,3,12,0.5808730721473694
correct,3,13,0.43622568249702454
correct,3,14,0.21864496171474457
correct,3,15,0.4949784278869629
correct,3,16,0.5652179718017578
correct,3,17,0.4915168583393097
correct,3,18,0.41444283723831177
correct,3,19,0.4340823292732239
correct,3,20,0.18841072916984558
correct,3,21,0.49072691798210144
correct,3,22,0.5089740753173828
correct,3,23,0.9321138262748718
correct,3,24,1.4595474004745483
correct,3,25,0.3032881021499634
correct,3,26,1.0467884540557861
correct,3,27,0.5374970436096191
correct,3,28,0.35381028056144714
correct,3,29,0.24239441752433777
correct,3,30,0.57530677318573
correct,3,31,0.801303505897522
correct,3,32,0.19356733560562134
correct,3,33,0.1575765609741211
correct,3,34,0.20983296632766724
correct,3,35,0.1639162003993988
correct,3,36,0.1293002963066101
correct,3,37,0.35650432109832764
correct,3,38,0.7207536101341248
correct,3,39,0.19961154460906982
correct,3,40,1.3959450721740723
correct,3,41,0.18858371675014496
correct,3,42,1.1904935836791992
correct,3,43,0.7809435725212097
correct,3,44,0.10144565999507904
correct,3,45,0.07615993171930313
correct,3,46,0.6122398972511292
correct,3,47,0.36031654477119446
correct,3,48,0.5737167000770569
correct,3,49,0.20133574306964874
correct,3,50,0.8252227306365967
correct,3,51,0.2931388020515442
correct,3,52,1.2094289064407349
correct,3,53,0.05999999865889549
correct,3,54,0.5981985926628113
correct,3,55,0.3221406936645508
correct,3,56,0.39814722537994385
correct,3,57,0.3261106014251709
correct,3,58,1.3415225744247437
correct,3,59,0.40312469005584717
correct,3,60,0.7040747404098511
correct,3,61,1.107983946800232
correct,3,62,0.4007035195827484
correct,3,63,0.2515398859977722
correct,3,64,0.6811699867248535
correct,3,65,0.5483257174491882
correct,3,66,0.6547293663024902
correct,3,67,0.08468689024448395
correct,3,68,0.6457275152206421
correct,3,69,1.0819141864776611
correct,3,70,0.3833668529987335
correct,3,71,0.3168114125728607
correct,3,72,0.5900566577911377
correct,3,73,0.1198008805513382
correct,3,74,0.27109023928642273
correct,3,75,0.46349117159843445
correct,3,76,0.40982040762901306
correct,3,77,0.4830794334411621
correct,3,78,0.3111999034881592
correct,3,79,1.2472314834594727
correct,3,80,0.7761845588684082
correct,3,81,0.24343928694725037
correct,3,82,0.22341902554035187
correct,3,83,0.36522555351257324
correct,3,84,0.05999999865889549
correct,3,85,0.05999999865889549
correct,3,86,0.26590925455093384
correct,3,87,0.3198549449443817
correct,3,88,0.4402366280555725
correct,3,89,0.08002541959285736
correct,3,90,0.26849082112312317
correct,3,91,0.6036674976348877
correct,3,92,0.08498901128768921
correct,3,93,0.590355634689331
correct,3,94,0.06364426016807556
correct,3,95,0.5650497674942017
correct,3,96,0.3021695017814636
correct,3,97,1.2212140560150146
correct,3,98,0.519982635974884
correct,3,99,1.371985673904419
correct,3,100,0.05999999865889549
correct,3,101,0.4566991627216339
correct,3,102,0.8300672173500061
correct,3,103,0.37880685925483704
correct,3,104,0.12574538588523865
correct,3,105,1.19794499874115
correct,3,106,0.5706137418746948
correct,3,107,0.7090082764625549
correct,3,108,0.3496857285499573
correct,3,109,0.22153839468955994
correct,3,110,0.05999999865889549
correct,3,111,0.23867571353912354
correct,3,112,0.3304499089717865
correct,3,113,0.9569834470748901
