condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,70,738.0641329405738,52.822227478027344,127.166242422968,176.9479352548755,1,0.5588235294117647,2,34
correct,0,71,671.033459272541,11.307245254516602,168.68728542545006,21.42817729848304,0,0.4838709677419355,4,31
correct,0,72,762.6123126921107,52.09302520751953,52.12927398089375,179.01551485844635,0,0.5,2,20
correct,0,73,768.1663758324795,35.34222412109375,35.7480032661429,354.17588033990893,3,0.8571428571428571,2,28
correct,0,74,722.434362192623,68.96099090576172,68.96274058905615,3.3277387873661506,1,1.0,1,34
correct,0,75,697.8480324667008,88.28182220458984,89.64736662419598,181.27976390009144,2,0.3870967741935484,4,31
correct,0,76,757.9878890240778,72.57495880126953,73.62160973858425,181.41263859945386,0,0.625,3,40
correct,0,77,724.4597207991803,74.97154998779297,74.97356691180208,3.6899108827522404,3,0.9714285714285714,2,35
correct,0,78,769.9841348616803,17.955806732177734,162.04418921410434,184.78094744892164,1,0.7446808510638298,4,47
correct,0,79,684.4881531762295,36.27659606933594,143.72051274640842,12.307932654484675,0,0.8333333333333334,2,18
correct,0,80,668.3597592213115,41.36580276489258,138.6332667040016,187.49546948359045,3,0.5,3,20
correct,0,81,756.2393778816598,52.81150817871094,52.818672442483724,178.7330184512596,0,0.39215686274509803,3,51
correct,0,82,724.8184554303278,20.56536293029785,159.43423758229096,345.68273073615643,1,0.5,3,98
correct,0,83,641.5093974129098,57.971214294433594,121.98958327212897,2.694547270056678,2,0.5641025641025641,2,39
correct,0,84,767.1694976306352,22.589702606201172,157.24308369072963,170.10221291828773,0,0.56,3,25
correct,0,85,655.6012743340164,3.706542491912842,3.706550025392794,194.2620439321008,2,1.0,1,11
correct,0,86,742.2199987192623,74.04232025146484,74.40838227586069,358.83243014897107,2,0.5714285714285714,3,28
correct,0,87,657.622606621414,35.634944915771484,144.35852062179845,188.00457727017613,0,0.5555555555555556,3,45
correct,0,88,664.947986039959,31.191850662231445,31.20397452520201,167.17856621827912,1,0.8717948717948718,2,39
correct,0,89,667.9732325819672,87.25198364257812,87.38350029781036,182.25977313823148,1,0.8367346938775511,4,49
correct,0,90,727.2565637807377,60.76097869873047,60.79954389669566,174.83338922980212,0,0.625,3,40
correct,0,91,682.0716092469262,6.441843509674072,173.55670453454704,230.48227450114885,2,0.6153846153846154,3,39
correct,0,92,675.089795722336,39.10407638549805,140.89450823586597,187.95156229546117,1,0.9,2,30
correct,0,93,727.3779617059427,57.5518798828125,57.70016955907174,353.51264088826434,0,0.4666666666666667,4,30
correct,0,94,697.8545482197746,50.504398345947266,50.51543283768612,359.78816254208397,1,0.4782608695652174,3,23
correct,0,95,726.4229876408812,27.38495445251465,27.38554353520349,196.34416702115539,3,0.43636363636363634,4,55
correct,0,96,687.6798155737705,72.72884368896484,107.27101020074299,182.10698155441918,1,0.6666666666666666,3,57
correct,0,97,730.4790839523565,33.410728454589844,33.479428494136044,176.62889751828806,0,0.8026315789473685,2,76
correct,0,98,648.499255571209,15.093001365661621,15.094308490434845,172.31622092899318,2,0.7777777777777778,2,9
correct,0,99,677.9838707095287,89.49100494384766,90.08742893688381,359.36666024169523,0,0.46153846153846156,4,65
correct,0,100,714.1375912525615,52.140716552734375,127.85341147530794,174.36977070846018,3,0.8,3,20
correct,0,101,658.3402759989754,54.791961669921875,54.8025963598519,180.77460370189408,1,0.4444444444444444,4,18
correct,0,102,662.3583263960041,51.50836944580078,128.46796241288698,4.225670215734674,2,0.6521739130434783,3,23
correct,0,103,720.9746654072746,46.24074935913086,133.75402355134986,357.76826006241396,3,0.5555555555555556,4,45
correct,0,104,730.5687756147541,7.448456764221191,7.44879531211069,12.630292325249428,1,0.46153846153846156,3,13
correct,0,105,661.794641713627,9.776223182678223,9.776420573047124,135.10981399859054,3,0.9411764705882353,2,34
correct,0,106,684.7770715932377,53.617618560791016,53.63479412628622,3.660479222644245,2,0.3611111111111111,4,36
correct,0,107,778.4183449667008,12.699775695800781,167.26305417529872,161.9503551326093,0,1.0,1,58
correct,0,108,694.9412861808402,68.87120056152344,68.88121325267049,2.42522697373134,2,0.4444444444444444,4,9
correct,0,109,769.9060338755123,15.976194381713867,164.0206142621745,335.19650720810006,3,0.7971014492753623,3,69
correct,0,110,644.069127817623,87.88473510742188,90.93996630896979,359.8029454226239,0,0.4444444444444444,4,9
correct,0,111,692.3345687115778,41.557655334472656,138.42842681890798,176.38837781352626,2,0.5172413793103449,3,29
correct,0,112,744.0552318135246,33.743961334228516,146.24005853782754,176.31163225564788,2,0.8421052631578947,2,19
correct,0,113,770.396716508709,63.418521881103516,115.48620555225114,5.451507965958019,1,0.4897959183673469,3,49
correct,0,114,671.3958520107582,59.92446517944336,59.92811292103687,173.37275337166903,2,0.8387096774193549,4,31
correct,0,115,681.5159852074795,7.443650722503662,7.4448692219106825,194.46802627600374,1,0.5263157894736842,2,38
correct,0,116,753.5059874487705,26.395915985107422,26.549104593516812,187.26254579492,2,0.6590909090909091,2,44
correct,0,117,730.8018698770492,59.8436279296875,120.07795010023152,351.57674798900945,2,0.711864406779661,2,59
correct,0,118,668.0406634221312,10.29850959777832,10.299823907374147,335.41212194558506,0,0.625,2,8
correct,0,119,760.140392866291,28.37665367126465,28.556673824390327,169.92400112442064,2,0.6666666666666666,3,9
correct,0,120,705.3717021004098,86.92654418945312,86.97239169954172,186.78739602211064,1,0.5,3,10
correct,0,121,641.7569159836065,45.821067810058594,45.82469309996084,5.033390007966329,1,0.4418604651162791,3,43
correct,0,122,736.9092837474385,35.01451873779297,144.84266990711026,9.162535740256521,3,0.4444444444444444,3,90
correct,0,123,728.3305503970287,3.5758094787597656,3.57593410318599,72.07860261277717,1,0.7,2,10
correct,0,124,655.393250512295,14.080076217651367,165.91758797104777,190.96554339273982,1,0.9285714285714286,2,14
