family,family_label,x_label,x_value,point_label,is_id,method,method_label,num_rso,n,mean_uncertainty_mean,mean_uncertainty_std,mean_uncertainty_ci95,max_uncertainty_mean,max_uncertainty_std,max_uncertainty_ci95,p95_uncertainty_mean,p95_uncertainty_std,p95_uncertainty_ci95,fine_custody_mean,fine_custody_std,fine_custody_ci95
eccentricity,Eccentricity,Maximum eccentricity,0.04,0.040,0,pointer_lstm,Attention-LSTM pointer,30,24,0.41092127685745555,0.07529224736009653,0.030123172644542878,1.4346579412619274,0.5873316049020373,0.2349815811639207,0.9439968610803279,0.3339022726929927,0.13358873136873464,0.2111111111111111,0.06420578831241024,0.025687665250097635
eccentricity,Eccentricity,Maximum eccentricity,0.05,0.050,0,expected_info_gain,Expected information gain,30,24,0.753934808075428,0.33525941920465285,0.134131703057163,2.8643020540475845,2.864770217214377,1.1461467928745679,2.175840880100924,1.9863199647840255,0.7946934953385727,0.13333333333333333,0.0520126331736996,0.020809387204173135
eccentricity,Eccentricity,Maximum eccentricity,0.05,0.050,0,flat_lstm,Flat LSTM,30,24,0.7436113903919855,0.18799404301765615,0.0752132817457611,3.6015473206837973,2.018194204365787,0.8074458470812805,2.1437827793260404,0.7243441083691615,0.2897979990702957,0.15833333333333333,0.050361015518533496,0.02014860252163607
eccentricity,Eccentricity,Maximum eccentricity,0.05,0.050,0,pointer_lstm,Attention-LSTM pointer,30,24,0.47710932170351344,0.31974948615226734,0.12792643747639454,3.2671595190962157,8.511564740834187,3.4053351195256893,0.9358330874393376,0.3896087676809132,0.15587597108835588,0.20833333333333334,0.06538625481582945,0.026159950213428967
sensor_degradation,Sensor degradation,Degradation severity (%),0.0,0,1,expected_info_gain,Expected information gain,30,24,0.8927190415561199,0.7458500213692818,0.2984021562431161,5.932980641722679,11.325777155996525,4.531254578868049,2.5921143741657295,3.5535968216875338,1.4217348309027178,0.1277777777777778,0.059520358768160156,0.02381310302059924
sensor_degradation,Sensor degradation,Degradation severity (%),0.0,0,1,flat_lstm,Flat LSTM,30,24,0.7902335512141386,0.25002438806204147,0.10003058842058987,3.721453512708346,2.2676454420057097,0.9072471275754621,2.450984405229487,1.0961536603546733,0.4385528007669914,0.15416666666666665,0.0459073841849578,0.01836677889091327
sensor_degradation,Sensor degradation,Degradation severity (%),0.0,0,1,pointer_lstm,Attention-LSTM pointer,30,24,0.4133576961855094,0.07142968176044512,0.02857782455773791,1.4396820863087971,0.6849499626650326,0.27403705828506064,0.9408277392387383,0.295762105186387,0.11832948634980903,0.21944444444444444,0.06363897771572145,0.025460893782124936
sensor_degradation,Sensor degradation,Degradation severity (%),20.0,20,0,expected_info_gain,Expected information gain,30,24,1.1995070651173592,0.5169051261404694,0.206805121397277,9.596021108329296,8.466761674850877,3.3874101599323683,3.6502905648201662,3.120289285632901,1.2483757112800935,0.09444444444444444,0.05870310682070052,0.023486134144379157
sensor_degradation,Sensor degradation,Degradation severity (%),20.0,20,0,flat_lstm,Flat LSTM,30,24,0.7940552483002344,0.16479155998046918,0.0659303551920017,3.5809627821048102,1.0658857460507483,0.42644311298191684,2.3199497483670695,0.688155391838105,0.27531949704556824,0.13333333333333333,0.042845639127810094,0.01714182574920487
sensor_degradation,Sensor degradation,Degradation severity (%),20.0,20,0,pointer_lstm,Attention-LSTM pointer,30,24,0.46895642826954526,0.11884298513816309,0.04754709660595182,1.7379050080974896,1.0481573039445258,0.419350258923113,1.1670673691357167,0.6190246742135652,0.24766144970258502,0.19999999999999998,0.07421082385212815,0.029690513132115265
