family,x_value,method,n,ratio,ci95_low,ci95_high
measurement_noise,90.0,pointer_lstm,24,1.2778869485487852,1.0415780308092895,1.567808656642378
measurement_noise,100.0,pointer_lstm,24,1.3789799632400537,1.104570260915855,1.721561593954955
measurement_noise,150.0,pointer_lstm,24,1.5263373691679438,1.2787418340480614,1.8218734247111197
measurement_noise,200.0,pointer_lstm,24,1.4704075960172944,1.1742000956334606,1.8413373550774106
measurement_noise,25.0,flat_lstm,24,0.9703280649377538,0.727461935594566,1.2942760404863156
measurement_noise,50.0,flat_lstm,24,1.0,1.0,1.0
measurement_noise,60.0,flat_lstm,24,1.0403538204993608,0.8953660011185975,1.208819712246649
measurement_noise,70.0,flat_lstm,24,1.0170760258897147,0.8887476860023843,1.16393399243893
measurement_noise,80.0,flat_lstm,24,1.006113516957543,0.8543509401727382,1.1848344297485176
measurement_noise,90.0,flat_lstm,24,1.0907478651652234,0.8499860625536214,1.3997063690528901
measurement_noise,100.0,flat_lstm,24,1.1332768597990042,0.9096248232895716,1.411918857173756
measurement_noise,150.0,flat_lstm,24,1.1695331811699075,0.9496809090790541,1.4402815185406064
measurement_noise,200.0,flat_lstm,24,1.1274442496782824,0.8886071555194472,1.4304752423353702
