scenario,head,normalized_rank,attention_mean,ci95,n_samples
scale_5000_k60,1,0.1016949152542373,1.0011191744323786,0.0003266623519559627,3552
scale_5000_k60,1,0.11864406779661017,1.0010717549604606,0.0003209503046134758,3552
scale_5000_k60,1,0.13559322033898305,1.0008412135748175,0.00033094062535487097,3552
scale_5000_k60,1,0.15254237288135594,1.0005971686662853,0.00032554129027744644,3552
scale_5000_k60,1,0.1694915254237288,1.0006606889938987,0.0003308107645070706,3552
scale_5000_k60,1,0.1864406779661017,1.000750789603403,0.0003242407592034218,3552
scale_5000_k60,1,0.2033898305084746,1.000785486906901,0.0003217218013316675,3552
scale_5000_k60,1,0.22033898305084745,1.0006272899708502,0.0003204879479850979,3552
scale_5000_k60,1,0.23728813559322035,1.0003555009460396,0.00032781722810752034,3552
scale_5000_k60,1,0.2542372881355932,1.0007619357726596,0.0003228539549455963,3552
scale_5000_k60,1,0.2711864406779661,1.0004591271616854,0.000318167027729391,3552
scale_5000_k60,1,0.288135593220339,1.0006054289941047,0.00032839635668587393,3552
scale_5000_k60,1,0.3050847457627119,1.0004482295129213,0.00033093082906610364,3552
scale_5000_k60,1,0.3220338983050847,1.0004063515613477,0.0003236231244111601,3552
scale_5000_k60,1,0.3389830508474576,1.0001702679505757,0.0003231212145057618,3552
scale_5000_k60,1,0.3559322033898305,1.0000926122270726,0.00033459737511526395,3552
scale_5000_k60,1,0.3728813559322034,1.0001396234440911,0.0003289315950457545,3552
scale_5000_k60,1,0.3898305084745763,1.000124654455765,0.00033501288723739167,3552
scale_5000_k60,1,0.4067796610169492,1.0002539205020882,0.0003266971316009593,3552
scale_5000_k60,1,0.423728813559322,0.9999001485773841,0.00033320766211606306,3552
scale_5000_k60,1,0.4406779661016949,0.9999183306118121,0.0003279820230490135,3552
scale_5000_k60,1,0.4576271186440678,1.000069072386166,0.0003381418409591272,3552
scale_5000_k60,1,0.4745762711864407,0.9999218869048196,0.00033765417190102705,3552
scale_5000_k60,1,0.4915254237288136,1.0002218230484843,0.00033185448601595656,3552
