representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,id_2000_k15,1,4,4.998611111111111,0.08782344,15,11.408113,12.837841,0.8057146,2.7146513,0.0,0.15756385,0.09568858322905224,0.3333333333333333,0.7333333333333333,0.39999999999999997,id_2000_k15,id_2000_k60,False,False,True,0.945829750644884
encoder,scale_5000_k60,7,4,1.5277777777777777,1.4822801,60,11.40039,14.117579,0.19457854,10.779639,0.0,0.1570975,0.1156825940373712,0.06666666666666667,0.6666666666666666,0.6,scale_5000_k60,id_2000_k15,False,False,True,0.9456577815993121
encoder,retrograde_2000_k60,1,5,3.333333333333333,0.08695502,60,4.994414,13.444424,0.6631609,7.0777597,0.0,0.15678278,0.12193773950421824,0.7333333333333333,1.0,0.2666666666666667,retrograde_2000_k60,scale_5000_k60,False,False,True,0.9454858125537403
encoder,id_2000_k15,4,4,4.998611111111111,0.08791185,15,8.75934,12.923388,2.118202,4.861621,0.0,0.15672643,0.1445025959543857,0.3333333333333333,0.6666666666666666,0.3333333333333333,id_2000_k15,team9_2000_k60,False,False,True,0.9453138435081685
encoder,retrograde_2000_k60,6,9,0.2777777777777778,4.338631,60,8.889333,0.6497237,3.787598,7.7322154,0.0,0.15657766,0.0818410975842163,0.13333333333333333,0.8,0.6666666666666667,retrograde_2000_k60,id_2000_k60,False,False,True,0.9451418744625968
encoder,scale_5000_k60,5,8,2.9166666666666665,0.83939445,60,10.226045,14.608698,-1.407351,10.75048,0.0,0.15643336,0.16741721827934977,0.3333333333333333,0.8666666666666667,0.5333333333333334,scale_5000_k60,id_2000_k60,False,False,True,0.944969905417025
encoder,scale_5000_k60,4,7,1.805555555555556,1.0998988,60,11.324172,14.162561,1.6296114,6.9477367,0.0,0.15617126,0.10183210181616825,0.13333333333333333,0.6666666666666666,0.5333333333333333,scale_5000_k60,id_2000_k15,False,False,True,0.9447979363714532
encoder,scale_5000_k60,5,1,1.5277777777777777,1.8869644,60,9.641545,5.4486556,-0.2480486,5.7027173,0.0,0.15598266,0.11380040015911592,0.4,0.8666666666666667,0.4666666666666667,scale_5000_k60,id_2000_k60,False,False,True,0.9444539982803095
encoder,scale_5000_k60,0,0,1.6666666666666667,1.3374616,60,11.36882,5.0052347,-0.9315117,10.594028,0.0,0.15593176,0.11333518360485594,0.5333333333333333,0.8,0.2666666666666667,scale_5000_k60,id_2000_k60,False,False,True,0.9442820292347377
encoder,retrograde_2000_k60,5,3,1.3888888888888888,0.13812853,60,11.8053055,7.5751576,-2.376934,9.71827,0.0,0.15580447,0.13878744843198235,0.5333333333333333,1.0,0.4666666666666667,retrograde_2000_k60,id_2000_k60,False,False,True,0.944110060189166
encoder,id_2000_k15,6,6,0.8333333333333334,0.22929488,15,9.154739,13.38946,3.061089,5.926728,0.0,0.15556103,0.06113676723013238,0.3333333333333333,0.7333333333333333,0.39999999999999997,id_2000_k15,id_2000_k60,False,False,True,0.9439380911435942
encoder,id_2000_k15,5,1,0.5555555555555556,2.5585566,15,9.482352,1.0638028,3.6544178,7.1426983,0.0,0.15535074,0.08618147252695546,0.2,0.6666666666666666,0.4666666666666666,id_2000_k15,retrograde_2000_k60,False,False,True,0.9437661220980224
encoder,retrograde_2000_k60,7,3,4.583333333333333,0.084984116,60,10.237105,7.844704,-3.986438,6.597808,0.0,0.15495409,0.11648447219494291,0.5333333333333333,0.8,0.2666666666666667,retrograde_2000_k60,team9_2000_k60,False,False,True,0.9434221840068787
encoder,scale_5000_k60,6,0,1.6666666666666667,1.6482285,60,12.084247,5.080674,2.9974856,6.8841867,0.0,0.15479562,0.16259654835239576,0.26666666666666666,0.8,0.5333333333333334,scale_5000_k60,id_2000_k60,False,False,True,0.943250214961307
encoder,scale_5000_k60,0,9,4.027777777777778,0.6750217,60,10.652987,14.351835,-3.694926,7.5365677,0.0,0.15443137,0.20533484918248135,0.4666666666666667,0.7333333333333333,0.2666666666666666,scale_5000_k60,id_2000_k60,False,False,True,0.9430782459157352
encoder,scale_5000_k60,3,9,4.583333333333333,0.7910725,60,6.783499,10.903121,-0.31542975,6.8315687,0.016666666666666666,0.1540838,0.21793561608298753,0.26666666666666666,0.7333333333333333,0.4666666666666666,scale_5000_k60,id_2000_k60,False,False,True,0.9429062768701634
encoder,id_2000_k15,0,3,3.333333333333333,0.09011821,15,13.830094,5.027198,2.3111463,6.7405753,0.06666666666666667,0.15403776,0.08899675180526055,0.2,0.8666666666666667,0.6666666666666667,id_2000_k15,scale_5000_k60,False,False,True,0.9427343078245916
encoder,team9_2000_k60,7,0,0.5555555555555556,4.10722,60,9.110851,0.895415,4.6081066,6.5151224,0.0,0.15388861,0.0743381929340409,0.4,0.7333333333333333,0.33333333333333326,team9_2000_k60,id_2000_k60,False,False,True,0.9425623387790197
encoder,scale_5000_k60,2,0,1.5277777777777777,1.7751793,60,13.947263,4.430085,0.35753474,6.832127,0.0,0.12619019,0.07364931383418422,0.0,0.7333333333333333,0.7333333333333333,scale_5000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,2,11,0.5555555555555556,0.8091687,60,10.05885,0.65332896,4.219903,4.846802,0.05,0.1331818,0.04815359364603728,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k15,False,False,True,0.942390369733448
encoder,id_2000_k15,4,2,4.861111111111111,0.08793369,15,8.685515,6.367839,-3.303467,4.0960045,0.0,0.08738793,0.09461984699061411,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,scale_5000_k60,False,False,True,0.942390369733448
encoder,id_2000_k15,7,9,4.583333333333333,0.0881768,15,8.029068,11.035429,1.6994725,4.0923944,0.0,0.12413594,0.08962499676149434,0.0,0.7333333333333333,0.7333333333333333,id_2000_k15,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,3,7,0.9722222222222222,0.18231136,60,6.364837,12.942124,-4.021765,8.785437,0.0,0.060244225,0.09398140563497379,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,2,0,2.2222222222222223,0.092724346,60,10.216913,7.729006,-1.0704439,7.4169574,0.03333333333333333,0.070245944,0.12536274410852563,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,team9_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,4,10,1.9444444444444444,0.09689012,60,10.236132,16.067762,-2.255394,2.2189617,0.0,0.066835515,0.11626552502347756,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,2,0,1.25,0.15094376,60,14.268109,6.235337,0.14827006,10.712763,0.0,0.06452686,0.09002296664222215,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,3,0,2.083333333333333,0.094939284,60,9.529719,7.0102215,-5.171688,4.8988876,0.0,0.033029575,0.045664789714913674,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,0,4,0.5555555555555556,0.57296336,60,6.7772946,12.983476,-2.7070408,8.955737,0.016666666666666666,0.074841104,0.10284854532548963,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,team9_2000_k60,False,False,True,0.942390369733448
encoder,retrograde_2000_k60,0,6,1.3888888888888888,0.13734198,60,6.088469,12.932443,-4.3573093,5.4861298,0.0,0.048854288,0.07074857763995532,0.0,0.7333333333333333,0.7333333333333333,retrograde_2000_k60,id_2000_k60,False,False,True,0.942390369733448
