scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2
id_2000_k60,3,6,0.2777777777777778,4.7498784,60,9.409985,0.99998355,3.752141,7.0464716
id_2000_k60,3,7,0.2777777777777778,4.7498784,60,9.684277,-0.35175154,6.847737,5.4133263
id_2000_k60,3,8,0.2777777777777778,4.7498784,60,9.7522745,-0.12178471,6.384998,5.2186556
id_2000_k60,3,9,0.2777777777777778,4.7498784,60,9.672049,0.035677902,5.873971,5.5472894
id_2000_k60,3,10,0.2777777777777778,4.7498784,60,10.081834,1.8355474,1.686371,5.9560637
id_2000_k60,3,11,0.2777777777777778,4.7498784,60,10.132652,0.95553344,5.0568237,4.560512
id_2000_k60,0,0,0.4166666666666667,2.3017588,60,10.137119,1.5058141,4.281344,4.38665
id_2000_k60,0,1,0.4166666666666667,2.3017588,60,9.029366,0.50333816,5.208992,6.380359
id_2000_k60,0,2,0.4166666666666667,2.3017588,60,8.913401,0.11880189,4.7647347,6.864494
id_2000_k60,0,3,0.4166666666666667,2.3017588,60,9.273002,0.938033,4.3252277,6.5984693
id_2000_k60,0,4,0.4166666666666667,2.3017588,60,9.4542,0.6542419,3.575001,7.252866
id_2000_k60,0,5,0.4166666666666667,2.3017588,60,10.1297,1.492413,3.2515497,4.4272494
id_2000_k60,0,6,0.4166666666666667,2.3017588,60,8.924163,0.57235223,3.731771,7.1980443
id_2000_k60,0,7,0.4166666666666667,2.3017588,60,8.985123,0.8417095,4.6811924,6.7196407
id_2000_k60,0,8,0.4166666666666667,2.3017588,60,8.477373,0.46797302,-0.533647,9.450433
id_2000_k60,0,9,0.4166666666666667,2.3017588,60,10.1328,1.3427444,2.4976401,6.18678
id_2000_k60,0,10,0.4166666666666667,2.3017588,60,9.870226,15.379943,-2.2964742,10.087317
id_2000_k60,0,11,0.4166666666666667,2.3017588,60,10.225034,1.0591637,4.8759475,4.5361485
id_2000_k60,1,0,0.4166666666666667,2.3095074,60,9.342484,5.1256027,-2.466298,3.2725542
id_2000_k60,1,1,0.4166666666666667,2.3095074,60,9.434772,1.1402375,3.8160696,6.9527435
id_2000_k60,1,2,0.4166666666666667,2.3095074,60,14.345295,6.2575016,1.7926015,10.107776
id_2000_k60,1,3,0.4166666666666667,2.3095074,60,9.485822,0.13184036,3.4639924,5.5841594
id_2000_k60,1,4,0.4166666666666667,2.3095074,60,8.308671,0.69946235,-0.72023904,8.972881
id_2000_k60,1,5,0.4166666666666667,2.3095074,60,8.551766,0.22142896,4.90962,6.5281196
id_2000_k60,1,6,0.4166666666666667,2.3095074,60,8.965425,0.5846322,3.6951115,7.2615423
id_2000_k60,1,7,0.4166666666666667,2.3095074,60,9.321068,1.0382314,4.8490562,5.09501
id_2000_k60,1,8,0.4166666666666667,2.3095074,60,8.442213,0.16194673,5.385742,6.2584987
id_2000_k60,1,9,0.4166666666666667,2.3095074,60,10.065136,1.412124,-0.05988299,4.5019264
id_2000_k60,1,10,0.4166666666666667,2.3095074,60,9.788047,14.357958,2.7813632,6.965117
id_2000_k60,1,11,0.4166666666666667,2.3095074,60,10.007869,0.23772086,5.759596,5.0004168
id_2000_k60,2,0,0.4166666666666667,2.4150157,60,10.0962515,1.5325124,3.2496946,4.9706707
id_2000_k60,2,1,0.4166666666666667,2.4150157,60,9.542641,1.2796452,4.0808573,6.3461366
id_2000_k60,2,2,0.4166666666666667,2.4150157,60,14.063011,4.798694,-0.20612617,8.563275
id_2000_k60,2,3,0.4166666666666667,2.4150157,60,12.0669,5.338417,0.09361918,6.0922813
id_2000_k60,2,4,0.4166666666666667,2.4150157,60,8.379919,0.8710497,-0.57111984,6.6025662
id_2000_k60,2,5,0.4166666666666667,2.4150157,60,10.050196,1.1890973,3.9107075,6.207442
id_2000_k60,2,6,0.4166666666666667,2.4150157,60,9.591802,1.3666171,1.4842162,8.366536
id_2000_k60,2,7,0.4166666666666667,2.4150157,60,9.8490715,-0.09960661,6.5191827,4.9613414
id_2000_k60,2,8,0.4166666666666667,2.4150157,60,9.656918,1.1820999,2.067725,4.04777
id_2000_k60,2,9,0.4166666666666667,2.4150157,60,10.054833,1.4761411,0.067038134,4.3379087
id_2000_k60,2,10,0.4166666666666667,2.4150157,60,9.854797,14.591319,-1.1734501,7.518528
id_2000_k60,2,11,0.4166666666666667,2.4150157,60,10.121662,0.538405,0.48520252,0.8556685
id_2000_k60,3,0,0.4166666666666667,2.526228,60,9.645988,1.3476919,-0.5173217,3.4192073
id_2000_k60,3,1,0.4166666666666667,2.526228,60,9.272697,0.8856804,4.7023835,6.1112475
id_2000_k60,3,2,0.4166666666666667,2.526228,60,14.121077,4.9733143,-1.0400597,7.9886975
id_2000_k60,3,3,0.4166666666666667,2.526228,60,9.478643,0.10722645,5.2799335,5.216734
id_2000_k60,3,4,0.4166666666666667,2.526228,60,9.929326,0.78676075,2.7944746,5.350598
id_2000_k60,3,5,0.4166666666666667,2.526228,60,8.383594,-0.23667213,5.8544645,6.2321854
id_2000_k60,3,6,0.4166666666666667,2.526228,60,13.040467,15.844438,0.015694674,0.7692106
id_2000_k60,3,7,0.4166666666666667,2.526228,60,9.30275,1.1328273,-0.36752522,3.1307425
id_2000_k60,3,8,0.4166666666666667,2.526228,60,8.345691,0.8349189,-1.8188455,6.5315113
id_2000_k60,3,9,0.4166666666666667,2.526228,60,10.032594,1.3106264,2.9790075,4.162288
id_2000_k60,3,10,0.4166666666666667,2.526228,60,8.313458,15.342865,1.1896172,1.7448062
