scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,17,0.1734306365251541
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,18,115.64181518554688
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,19,108.26737976074219
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,20,11.862602233886719
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,21,0.8486107587814331
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,22,19.009950637817383
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,23,0.24952971935272217
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,24,99.20436096191406
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,25,107.23660278320312
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,26,0.676638126373291
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,27,114.17616271972656
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,28,2.420466899871826
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,5,29,106.82091522216797
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,0,4.723337650299072
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,1,0.24177974462509155
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,2,0.5810417532920837
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,3,1.534468173980713
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,4,0.6550027132034302
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,5,107.03862762451172
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,6,2.6423048973083496
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,7,106.71440124511719
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,8,0.19478321075439453
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,9,0.3650982081890106
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,10,1.5199899673461914
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,11,106.94244384765625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,12,1.6726295948028564
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,13,14.622551918029785
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,14,107.25532531738281
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,15,99.85971069335938
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,16,113.7699966430664
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,17,113.49356842041016
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,18,105.05889892578125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,19,108.78297424316406
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,20,2.3601555824279785
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,21,2.430068016052246
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,22,108.70452117919922
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,23,1.7957186698913574
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,24,3.5367238521575928
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,25,13.198633193969727
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,26,108.40357971191406
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,27,18.598474502563477
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,28,103.67381286621094
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,6,29,103.85800170898438
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,0,108.43087768554688
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,1,23.704702377319336
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,2,107.44692993164062
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,3,101.51215362548828
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,4,2.900789976119995
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,5,108.00679016113281
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,6,82.32142639160156
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,7,108.00399017333984
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,8,1.3957120180130005
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,9,1.2917132377624512
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,10,2.4722981452941895
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,11,5.51109504699707
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,12,1.7539154291152954
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,13,2.000603437423706
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,14,1.4195411205291748
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,15,4.8874125480651855
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,16,4.138733863830566
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,17,67.77470397949219
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,18,0.9598427414894104
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,19,106.33001708984375
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,20,0.8869206309318542
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,21,24.73841094970703
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,22,3.9297070503234863
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,23,108.8081283569336
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,24,108.14397430419922
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,25,108.49713134765625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,7,26,0.729328989982605
