scenario,scenario_label,method,method_label,step,sim_time_s,mean_u_km,std_u_km,n_episodes
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2400,11995.0,4.983828964233399,4.111892260470058,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2450,12245.0,4.69238166809082,4.126490655578246,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2500,12495.0,4.324988098144531,3.633595906354169,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2550,12745.0,3.858413619995117,3.3395816766512025,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2600,12995.0,3.4872976303100587,3.1173448798518484,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2650,13245.0,3.1761692428588866,3.1340787696186325,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2700,13495.0,3.0265724945068357,3.091493898009855,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2750,13745.0,2.9006370544433593,2.843850480611753,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2800,13995.0,2.8628413772583006,2.8815109427366266,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2850,14245.0,2.8434706115722657,2.9176572609467537,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2900,14495.0,2.7657268905639647,2.696146282941342,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,2950,14745.0,2.6607910919189455,2.4331104116785762,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3000,14995.0,2.4799453353881837,2.0582703456687694,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3050,15245.0,2.4846887969970703,2.177289721992291,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3100,15495.0,2.4541030883789063,2.2503775612291648,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3150,15745.0,2.377162666320801,2.236156905648328,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3200,15995.0,2.3354946517944337,2.2987622343454484,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3250,16245.0,2.280670738220215,2.329221512949048,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3300,16495.0,2.273161506652832,2.378845383590993,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3350,16745.0,2.207258358001709,2.388381008765886,100
id_fixed_30,ID: fixed 30,max_uncertainty_greedy,Max-U greedy,3400,16995.0,2.132048683166504,2.3843452526989326,100
