hour,sim_time_s,episode_id,reset_seed,vector_env_index,rso_id,u_total_km
0,0,13,30000,13,5,8.189709663391113
0,0,13,30000,13,6,9.599912643432617
0,0,13,30000,13,7,8.229652404785156
0,0,13,30000,13,8,6.655725479125977
0,0,13,30000,13,9,7.409326076507568
0,0,13,30000,13,10,7.652243614196777
0,0,13,30000,13,11,5.943802833557129
0,0,13,30000,13,12,7.148077011108398
0,0,13,30000,13,13,8.354275703430176
0,0,13,30000,13,14,7.853377342224121
0,0,13,30000,13,15,9.078118324279785
0,0,13,30000,13,16,9.344734191894531
0,0,13,30000,13,17,7.106374263763428
0,0,13,30000,13,18,8.75555419921875
0,0,13,30000,13,19,6.662265300750732
0,0,13,30000,13,20,7.113027572631836
0,0,13,30000,13,21,8.42062759399414
0,0,13,30000,13,22,7.477351665496826
0,0,13,30000,13,23,7.355616569519043
0,0,13,30000,13,24,6.066656112670898
0,0,13,30000,13,25,6.543476104736328
0,0,13,30000,13,26,7.552815914154053
0,0,13,30000,13,27,7.900426387786865
0,0,13,30000,13,28,8.749283790588379
0,0,13,30000,13,29,7.315282821655273
0,0,14,30000,14,0,6.613466262817383
0,0,14,30000,14,1,5.693181991577148
0,0,14,30000,14,2,6.580554962158203
0,0,14,30000,14,3,6.221742630004883
0,0,14,30000,14,4,8.008798599243164
0,0,14,30000,14,5,8.575689315795898
0,0,14,30000,14,6,9.856956481933594
0,0,14,30000,14,7,6.645834445953369
0,0,14,30000,14,8,8.938095092773438
0,0,14,30000,14,9,7.572628974914551
0,0,14,30000,14,10,8.31101131439209
0,0,14,30000,14,11,6.285511016845703
0,0,14,30000,14,12,5.802731037139893
0,0,14,30000,14,13,8.153482437133789
0,0,14,30000,14,14,8.324612617492676
0,0,14,30000,14,15,7.34666633605957
0,0,14,30000,14,16,8.425591468811035
0,0,14,30000,14,17,7.124309539794922
0,0,14,30000,14,18,7.060472011566162
0,0,14,30000,14,19,9.653234481811523
0,0,14,30000,14,20,7.063117980957031
0,0,14,30000,14,21,8.759668350219727
0,0,14,30000,14,22,8.832967758178711
0,0,14,30000,14,23,8.27786922454834
0,0,14,30000,14,24,7.719893932342529
0,0,14,30000,14,25,9.991715431213379
0,0,14,30000,14,26,9.826129913330078
0,0,14,30000,14,27,6.982635498046875
0,0,14,30000,14,28,6.715993881225586
0,0,14,30000,14,29,8.154203414916992
0,0,15,30000,15,0,6.6602067947387695
0,0,15,30000,15,1,9.146498680114746
0,0,15,30000,15,2,8.006834030151367
0,0,15,30000,15,3,8.289875984191895
0,0,15,30000,15,4,9.064759254455566
0,0,15,30000,15,5,6.5981597900390625
0,0,15,30000,15,6,8.707159042358398
0,0,15,30000,15,7,6.555508613586426
0,0,15,30000,15,8,6.2066168785095215
0,0,15,30000,15,9,7.273488998413086
0,0,15,30000,15,10,8.057540893554688
0,0,15,30000,15,11,8.272475242614746
0,0,15,30000,15,12,7.64603328704834
0,0,15,30000,15,13,7.759686470031738
0,0,15,30000,15,14,8.108695983886719
0,0,15,30000,15,15,7.537487983703613
0,0,15,30000,15,16,8.389179229736328
0,0,15,30000,15,17,9.332096099853516
0,0,15,30000,15,18,7.965718746185303
0,0,15,30000,15,19,8.530251502990723
0,0,15,30000,15,20,8.680497169494629
0,0,15,30000,15,21,8.470381736755371
0,0,15,30000,15,22,6.196244239807129
0,0,15,30000,15,23,10.163761138916016
0,0,15,30000,15,24,8.212162971496582
0,0,15,30000,15,25,9.756244659423828
0,0,15,30000,15,26,7.740667343139648
0,0,15,30000,15,27,6.854085445404053
0,0,15,30000,15,28,7.859600067138672
0,0,15,30000,15,29,6.989801406860352
0,0,16,30000,16,0,9.232215881347656
0,0,16,30000,16,1,7.638461589813232
0,0,16,30000,16,2,5.9850077629089355
0,0,16,30000,16,3,7.8924713134765625
0,0,16,30000,16,4,9.142932891845703
0,0,16,30000,16,5,8.874093055725098
0,0,16,30000,16,6,7.113641262054443
0,0,16,30000,16,7,6.419005870819092
0,0,16,30000,16,8,7.425702095031738
0,0,16,30000,16,9,6.869609832763672
0,0,16,30000,16,10,6.592402458190918
0,0,16,30000,16,11,8.911774635314941
0,0,16,30000,16,12,7.446707248687744
0,0,16,30000,16,13,9.310195922851562
0,0,16,30000,16,14,6.870509624481201
0,0,16,30000,16,15,8.098872184753418
0,0,16,30000,16,16,9.681559562683105
0,0,16,30000,16,17,6.664577007293701
0,0,16,30000,16,18,9.99537467956543
0,0,16,30000,16,19,7.706552505493164
0,0,16,30000,16,20,6.773617744445801
0,0,16,30000,16,21,7.268819332122803
0,0,16,30000,16,22,7.754550457000732
0,0,16,30000,16,23,7.554751873016357
0,0,16,30000,16,24,7.603443145751953
0,0,16,30000,16,25,8.036429405212402
0,0,16,30000,16,26,9.123886108398438
0,0,16,30000,16,27,7.1877760887146
0,0,16,30000,16,28,9.774911880493164
0,0,16,30000,16,29,9.046768188476562
0,0,17,30000,17,0,6.292564868927002
0,0,17,30000,17,1,9.062305450439453
0,0,17,30000,17,2,9.497296333312988
0,0,17,30000,17,3,7.991522312164307
0,0,17,30000,17,4,6.893186569213867
0,0,17,30000,17,5,5.788240432739258
0,0,17,30000,17,6,6.378460884094238
0,0,17,30000,17,7,9.393915176391602
0,0,17,30000,17,8,9.238764762878418
0,0,17,30000,17,9,8.439745903015137
0,0,17,30000,17,10,7.820178985595703
0,0,17,30000,17,11,9.281203269958496
0,0,17,30000,17,12,7.068664073944092
0,0,17,30000,17,13,8.932127952575684
0,0,17,30000,17,14,7.368180751800537
0,0,17,30000,17,15,8.290647506713867
0,0,17,30000,17,16,6.93509578704834
0,0,17,30000,17,17,8.01285457611084
0,0,17,30000,17,18,9.776915550231934
0,0,17,30000,17,19,8.798103332519531
0,0,17,30000,17,20,8.338214874267578
0,0,17,30000,17,21,6.5897674560546875
0,0,17,30000,17,22,9.55815601348877
0,0,17,30000,17,23,6.315494537353516
0,0,17,30000,17,24,7.457952499389648
0,0,17,30000,17,25,7.943961143493652
0,0,17,30000,17,26,7.689024448394775
0,0,17,30000,17,27,9.888201713562012
0,0,17,30000,17,28,8.047369003295898
0,0,17,30000,17,29,9.018533706665039
0,0,18,30000,18,0,7.884850978851318
0,0,18,30000,18,1,6.627203941345215
0,0,18,30000,18,2,9.005483627319336
0,0,18,30000,18,3,7.214732646942139
0,0,18,30000,18,4,7.9853715896606445
0,0,18,30000,18,5,8.82984733581543
0,0,18,30000,18,6,6.146085262298584
0,0,18,30000,18,7,7.92215633392334
0,0,18,30000,18,8,8.475142478942871
0,0,18,30000,18,9,8.312573432922363
0,0,18,30000,18,10,7.283156394958496
0,0,18,30000,18,11,9.548477172851562
0,0,18,30000,18,12,9.390617370605469
0,0,18,30000,18,13,6.945499897003174
0,0,18,30000,18,14,8.578831672668457
0,0,18,30000,18,15,7.826499938964844
0,0,18,30000,18,16,7.370830535888672
0,0,18,30000,18,17,8.424041748046875
0,0,18,30000,18,18,8.529448509216309
0,0,18,30000,18,19,7.053604602813721
0,0,18,30000,18,20,7.408624172210693
0,0,18,30000,18,21,10.116228103637695
0,0,18,30000,18,22,7.103971481323242
0,0,18,30000,18,23,6.778979778289795
0,0,18,30000,18,24,7.198318004608154
0,0,18,30000,18,25,6.7594075202941895
