scenario,head,candidate_rank,attention_mean,ci95,n
inclination_150,3,2,0.019472552,0.0019181513,1600
inclination_150,3,3,0.05884184,0.0073494846,1600
inclination_150,3,4,0.05036172,0.006640454,1600
inclination_150,3,5,0.046735633,0.0048198947,1600
inclination_150,3,6,0.04710441,0.005140745,1600
inclination_150,3,7,0.015732419,0.0011403877,1600
inclination_150,3,8,0.059131555,0.007774976,1600
inclination_150,3,9,0.017856527,0.0013337297,1600
inclination_150,3,10,0.025829969,0.0021278118,1600
inclination_150,3,11,0.06091641,0.008049365,1600
inclination_150,3,12,0.022812223,0.0024882755,1600
inclination_150,3,13,0.016060788,0.0015610647,1600
inclination_150,3,14,0.031308793,0.002689635,1600
inclination_150,3,15,0.032599367,0.0024409865,1600
inclination_150,3,16,0.011641879,0.0010110565,1600
inclination_150,3,17,0.04878158,0.004961474,1600
inclination_150,3,18,0.019821055,0.002362274,1600
inclination_150,3,19,0.037439145,0.004224975,1600
inclination_150,3,20,0.029321928,0.0018463049,1600
inclination_150,3,21,0.018088352,0.0023304045,1600
inclination_150,3,22,0.010572587,0.0010835503,1600
inclination_150,3,23,0.036072515,0.0022643055,1600
inclination_150,3,24,0.016415656,0.0012608212,1600
inclination_150,3,25,0.013589982,0.001057824,1600
inclination_150,3,26,0.07666768,0.007908655,1600
inclination_150,3,27,0.066527605,0.008319204,1600
inclination_150,3,28,0.014429415,0.0011767987,1600
inclination_150,3,29,0.030814221,0.002953027,1600
inclination_150,3,30,0.04765781,0.005032918,1600
inclination_150,4,1,0.011501598,0.001698293,1600
inclination_150,4,2,0.011603774,0.0025243168,1600
inclination_150,4,3,0.062734745,0.009808203,1600
inclination_150,4,4,0.05752659,0.008979929,1600
inclination_150,4,5,0.04382249,0.0074679404,1600
inclination_150,4,6,0.049079686,0.007913738,1600
inclination_150,4,7,0.010188529,0.0011515573,1600
inclination_150,4,8,0.06819463,0.010510981,1600
inclination_150,4,9,0.013449596,0.0017643975,1600
inclination_150,4,10,0.021194268,0.002950224,1600
inclination_150,4,11,0.06693023,0.009783251,1600
inclination_150,4,12,0.018034266,0.0031236375,1600
inclination_150,4,13,0.009482305,0.0019015989,1600
inclination_150,4,14,0.036150943,0.0050267214,1600
inclination_150,4,15,0.02723923,0.0041304985,1600
inclination_150,4,16,0.003270845,0.0006080772,1600
inclination_150,4,17,0.047391042,0.0059023546,1600
inclination_150,4,18,0.020078853,0.004198891,1600
inclination_150,4,19,0.034396447,0.0062751668,1600
inclination_150,4,20,0.026307479,0.00324145,1600
inclination_150,4,21,0.016745754,0.003741371,1600
inclination_150,4,22,0.0037962543,0.0006045721,1600
inclination_150,4,23,0.03640668,0.0041620177,1600
inclination_150,4,24,0.013526232,0.00187666,1600
inclination_150,4,25,0.009419068,0.0012542738,1600
inclination_150,4,26,0.09878211,0.011876221,1600
inclination_150,4,27,0.07933723,0.011442559,1600
inclination_150,4,28,0.0075480836,0.0013033062,1600
inclination_150,4,29,0.02657669,0.0055098804,1600
inclination_150,4,30,0.069283165,0.009385984,1600
