scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
catalogue_120,4,2.2777777777777777,7.989761,-5.2295694,13.900656,-6.1557674,11.653918
catalogue_120,5,2.2777777777777777,7.665631,-5.810793,13.753874,-6.6025553,11.153819
catalogue_120,6,2.2777777777777777,6.803419,-0.14453366,17.094557,-8.24684,10.60946
catalogue_120,7,2.2777777777777777,18.307812,-4.967585,14.784202,-5.83519,13.411269
catalogue_120,4,2.3055555555555554,7.8985357,-5.016334,14.145259,-5.3589363,13.323179
catalogue_120,5,2.3055555555555554,7.3925967,-5.9195333,14.015937,-6.8977695,11.232886
catalogue_120,6,2.3055555555555554,6.7837086,-1.2289271,16.904657,-6.476877,9.580515
catalogue_120,7,2.3055555555555554,18.721138,-5.687327,13.833319,-6.6855197,11.019191
catalogue_120,4,2.3333333333333335,8.0566025,-5.2219343,13.974994,-6.204551,11.838114
catalogue_120,5,2.3333333333333335,7.4636903,-5.8747454,13.830852,-6.7450213,11.075932
catalogue_120,6,2.3333333333333335,6.8935637,-1.4185202,16.553719,-6.3597703,10.376647
catalogue_120,7,2.3333333333333335,19.313265,-4.1545434,12.475842,-3.1954572,13.678523
catalogue_120,4,2.361111111111111,8.020773,-5.8297377,13.717779,-6.9213157,10.632908
catalogue_120,5,2.361111111111111,7.533402,-5.228108,14.762198,-6.447223,12.446623
catalogue_120,6,2.361111111111111,6.7781634,-0.34490898,17.228788,-8.102617,10.437296
catalogue_120,7,2.361111111111111,19.896887,-4.0890336,12.542295,-3.001729,14.135157
catalogue_120,4,2.388888888888889,7.9657164,-5.8174005,13.881915,-6.99815,10.909157
catalogue_120,5,2.388888888888889,7.546944,-4.4826174,14.617279,-4.834701,14.252383
catalogue_120,6,2.388888888888889,6.782491,0.20785603,16.742424,-7.4022956,11.986033
catalogue_120,7,2.388888888888889,20.547054,-4.102869,12.683448,-3.2453394,14.180576
catalogue_120,4,2.4166666666666665,7.9626365,-4.4754577,14.4837675,-4.616678,14.233422
catalogue_120,5,2.4166666666666665,7.6559587,-4.7493186,14.654302,-5.309191,13.832444
catalogue_120,6,2.4166666666666665,6.824351,0.39894783,16.548872,-7.301622,12.000389
catalogue_120,7,2.4166666666666665,21.002478,-4.114506,12.58447,-3.1439412,14.124054
catalogue_120,4,2.4444444444444446,7.909695,-5.852176,13.7251835,-6.950661,10.698652
catalogue_120,5,2.4444444444444446,7.66263,-5.227472,13.987306,-6.182299,11.963467
catalogue_120,6,2.4444444444444446,6.895882,-0.733317,17.08042,-7.301338,10.050166
catalogue_120,7,2.4444444444444446,21.201504,-4.082835,12.418294,-2.751341,14.181221
catalogue_120,4,2.4722222222222223,8.008116,-4.502925,14.574071,-4.892719,14.23449
catalogue_120,5,2.4722222222222223,7.6713247,-4.5965824,14.589139,-5.2520933,13.730178
catalogue_120,6,2.4722222222222223,6.9901843,-1.4672146,16.226284,-6.2332177,10.602239
catalogue_120,7,2.4722222222222223,21.522938,-4.2542696,13.124136,-3.6068537,13.862345
catalogue_120,4,2.5,8.073943,-4.5140233,14.566878,-4.8102174,14.234947
catalogue_120,5,2.5,7.6850514,-4.465817,14.668604,-4.6713204,14.362304
catalogue_120,6,2.5,7.0567064,0.7168084,16.083845,-6.3137546,12.889533
catalogue_120,7,2.5,21.749855,-5.2462993,14.374645,-5.9743056,13.152775
catalogue_120,4,2.5277777777777777,8.096383,-4.5783787,14.5601,-4.8702536,14.214041
catalogue_120,5,2.5277777777777777,7.7247,-5.956943,13.635397,-6.8725843,10.596454
catalogue_120,6,2.5277777777777777,7.154642,-0.20718484,17.179394,-8.113888,10.578656
catalogue_120,7,2.5277777777777777,21.78991,-5.7943616,13.873391,-6.9062953,10.997704
catalogue_120,4,2.5555555555555554,8.0437355,-5.5216837,13.9610815,-6.6573653,11.562381
catalogue_120,5,2.5555555555555554,7.812526,-5.086914,14.850688,-6.4494143,12.69792
catalogue_120,6,2.5555555555555554,7.197138,-0.7452172,17.174744,-7.3941174,10.004823
catalogue_120,7,2.5555555555555554,22.286076,-5.7520943,13.993433,-6.90552,11.424564
catalogue_120,4,2.5833333333333335,7.9622746,-4.511796,14.632341,-4.8966565,14.274921
catalogue_120,5,2.5833333333333335,7.910736,-4.495796,14.691789,-4.725299,14.353525
catalogue_120,6,2.5833333333333335,7.2069397,0.47025266,16.530102,-7.4406304,12.010074
catalogue_120,7,2.5833333333333335,22.848278,-5.1820736,14.416954,-6.0369506,13.239724
catalogue_120,4,2.611111111111111,7.988251,-5.352882,14.074948,-6.4152126,11.956194
catalogue_120,5,2.611111111111111,7.9875417,-5.718385,14.455702,-6.9557953,11.874173
catalogue_120,6,2.611111111111111,7.173941,-0.43431592,17.224981,-8.041134,10.426976
catalogue_120,7,2.611111111111111,20.308315,-4.857875,14.688581,-5.6940594,13.831439
catalogue_120,4,2.638888888888889,8.003943,-5.5054955,14.006052,-6.751788,11.553012
catalogue_120,5,2.638888888888889,8.037524,-5.171283,14.9035425,-6.5617843,12.713316
catalogue_120,6,2.638888888888889,7.1939616,-0.17743067,17.138897,-8.160998,10.599334
catalogue_120,7,2.638888888888889,20.764685,-6.1221,14.203346,-7.3138757,11.210731
catalogue_120,4,2.6666666666666665,8.006853,-5.816058,13.765464,-7.0194983,10.929754
catalogue_120,5,2.6666666666666665,8.14298,-6.154816,14.012339,-7.3544583,10.823779
