representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id,3,0.5,14.569881,0.72565657,10.952709,-2.0911505,13.522571,0.03333333333333333,0.0131887235,0.202092298299477,0.06666666666666667,0.06666666666666667,0.0,id,id,False,False,False
encoder,id,0,0.5277777777777778,13.767196,-0.39138588,11.579673,0.0369795,14.264415,0.13333333333333333,0.010248912,0.20607547480381955,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,1,0.5277777777777778,15.307663,-0.24911931,11.294185,-0.18145187,14.318638,0.13333333333333333,0.005407854,0.09568981414030349,0.0,0.0,0.0,id,id,False,False,False
encoder,id,2,0.5277777777777778,13.598768,0.18463959,10.892033,-0.4299416,14.197723,0.13333333333333333,0.0082012415,0.23406404543642104,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.5277777777777778,15.655526,0.7150184,11.002362,-2.2241523,13.4837885,0.0,0.024424028,0.1854540937804005,0.2,0.13333333333333333,-0.06666666666666668,id,id,False,False,False
encoder,id,0,0.5555555555555556,13.364615,-0.06256486,11.012301,-0.4851329,14.1650305,0.13333333333333333,0.0071163536,0.09115374945031512,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.5555555555555556,15.646903,-0.15948029,12.259438,-1.3535421,14.853782,0.16666666666666666,0.010819618,0.23430800028608884,0.0,0.4,0.4,id,id,False,False,False
encoder,id,2,0.5555555555555556,14.563288,0.26937118,11.07657,-0.6967583,14.267228,0.16666666666666666,0.0069518643,0.21517195704064934,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.5555555555555556,16.737375,0.25675562,11.337593,-1.8774939,13.840257,0.03333333333333333,0.018156711,0.2029803291196008,0.26666666666666666,0.06666666666666667,-0.2,id,id,False,False,False
encoder,id,0,0.5833333333333334,14.29389,0.16588818,11.005191,-0.52071035,14.240855,0.13333333333333333,0.006551321,0.18223870632507064,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.5833333333333334,15.081796,-0.9051111,15.55441,-6.1882744,10.974296,0.16666666666666666,0.0071510077,0.15851822280649233,0.5333333333333333,0.4666666666666667,-0.06666666666666665,catalogue_120,id,False,False,False
encoder,id,2,0.5833333333333334,15.447417,0.2510357,11.5285635,-1.3570101,14.485885,0.16666666666666666,0.0048593404,0.15714318634388721,0.06666666666666667,0.13333333333333333,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.5833333333333334,17.808798,-5.708574,1.8628244,-5.888155,2.635168,0.03333333333333333,0.0042887805,0.23890996213361448,1.0,1.0,0.0,inclination_150,inclination_150,False,False,False
encoder,id,0,0.6111111111111112,15.179672,0.62705684,11.031745,-1.6397367,13.842349,0.06666666666666667,0.007707699,0.164250137627573,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,1,0.6111111111111112,15.088217,-0.37450325,15.804236,-6.3749175,11.371325,0.2,0.0057145995,0.2133187945801355,0.7333333333333333,0.6666666666666666,-0.06666666666666665,catalogue_120,catalogue_120,False,False,False
encoder,id,2,0.6111111111111112,16.38615,0.21366723,11.884942,-1.4832056,14.569624,0.13333333333333333,0.00368371,0.12894453999082334,0.13333333333333333,0.13333333333333333,0.0,id,id,False,False,False
encoder,id,3,0.6111111111111112,18.86504,-4.1429677,2.9211597,-7.567732,2.2019365,0.03333333333333333,0.007880402,0.20213908120575363,1.0,0.9333333333333333,-0.06666666666666665,inclination_150,inclination_150,False,False,False
encoder,id,0,0.6388888888888888,16.07848,0.3558366,11.608171,-1.460654,14.345845,0.1,0.0037067612,0.09603601476754507,0.0,0.2,0.2,id,id,False,False,False
encoder,id,1,0.6388888888888888,15.114489,-0.25525045,15.163145,-5.733527,12.142584,0.16666666666666666,0.010604532,0.17372156813156503,0.4,0.4666666666666667,0.06666666666666665,id,id,False,False,False
encoder,id,2,0.6388888888888888,17.317085,-0.17494181,11.298464,-0.4756083,14.510096,0.1,0.003799514,0.0729707617405364,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.6388888888888888,19.902624,-0.3232582,15.783253,-6.447775,11.456804,0.1,0.0049375575,0.22199170828833775,0.8,0.6666666666666666,-0.13333333333333341,catalogue_120,catalogue_120,False,False,False
encoder,id,0,0.6666666666666666,16.976234,0.34011757,11.697018,-1.5689003,14.316202,0.06666666666666667,0.0035182992,0.08491934470045637,0.0,0.2,0.2,id,id,False,False,False
encoder,id,1,0.6666666666666666,15.075839,0.41806948,14.610124,-4.7531977,14.015755,0.2,0.007960351,0.16724958821751013,0.26666666666666666,0.4666666666666667,0.2,id,id,False,False,False
encoder,id,2,0.6666666666666666,16.536001,-0.08848212,11.300597,-0.66636455,14.362688,0.1,0.005770592,0.08386897247828838,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.6666666666666666,19.187565,-0.19181219,13.52277,-3.6588328,13.789673,0.1,0.012443367,0.1527330119166193,0.0,0.4,0.4,id,id,False,False,False
encoder,id,0,0.6944444444444444,17.86508,0.48894516,11.344395,-1.6882036,14.023219,0.03333333333333333,0.005269722,0.11717704227863456,0.0,0.26666666666666666,0.26666666666666666,id,id,False,False,False
encoder,id,1,0.6944444444444444,14.709461,0.8221994,15.3344755,-5.290624,13.738873,0.23333333333333334,0.0046870867,0.15121396850970306,0.8666666666666667,0.8,-0.06666666666666665,catalogue_120,catalogue_120,False,False,False
encoder,id,2,0.6944444444444444,16.354221,-0.08196265,10.993293,-0.36732414,14.352196,0.13333333333333333,0.0044013737,0.09420284274583916,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.6944444444444444,20.122301,-0.060142133,11.296028,-0.8833228,14.414373,0.1,0.003813676,0.09265114269897566,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.7222222222222222,18.741232,0.6208863,11.247681,-1.8685325,13.769177,0.03333333333333333,0.010984754,0.09219751376407273,0.26666666666666666,0.3333333333333333,0.06666666666666665,id,id,False,False,False
encoder,id,1,0.7222222222222222,14.566875,-0.62412155,15.273775,-5.919578,11.535436,0.2,0.01199381,0.2490026613772077,0.26666666666666666,0.4666666666666667,0.2,id,id,False,False,False
encoder,id,2,0.7222222222222222,17.147575,-0.31963086,11.6078005,-0.39344776,14.761452,0.13333333333333333,0.0049478454,0.17664616503350586,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.7222222222222222,21.03812,0.23784335,11.8799515,-1.5296427,14.548299,0.13333333333333333,0.002585848,0.12851782913986667,0.06666666666666667,0.13333333333333333,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.75,19.602386,-0.2014537,11.360684,-0.67640203,14.583318,0.06666666666666667,0.0036405483,0.0939727304039125,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.75,15.281996,-0.32134178,13.756057,-4.07455,13.237956,0.16666666666666666,0.0187002,0.27333035101224773,0.06666666666666667,0.4,0.33333333333333337,id,id,False,False,False
encoder,id,2,0.75,17.928581,-0.53180677,11.893323,-0.21766068,14.883834,0.16666666666666666,0.0049231527,0.13137207334965942,0.06666666666666667,0.26666666666666666,0.2,id,id,False,False,False
encoder,id,3,0.75,20.651735,-0.082999386,11.442018,-0.6895839,14.622639,0.16666666666666666,0.0032293121,0.13038379126184257,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.7777777777777778,19.41308,-0.24033396,11.667095,-0.5535499,14.824164,0.1,0.003757898,0.16975235227805738,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.7777777777777778,15.993611,-0.16328461,12.417784,-1.6133325,14.995119,0.13333333333333333,0.011821957,0.17149549595196453,0.0,0.4,0.4,id,id,False,False,False
encoder,id,2,0.7777777777777778,18.696877,-0.59102577,12.035353,-0.08210033,14.885606,0.1,0.0066707176,0.07679313903548998,0.13333333333333333,0.26666666666666666,0.13333333333333333,id,id,False,False,False
encoder,id,3,0.7777777777777778,21.430244,-0.31017217,11.443209,-0.42767826,14.630438,0.13333333333333333,0.0061404346,0.1589615655874397,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,0,0.8055555555555556,20.198156,-0.46570405,12.110222,-0.37492958,14.960677,0.1,0.0046417275,0.07878235899227122,0.06666666666666667,0.4666666666666667,0.4,id,id,False,False,False
encoder,id,1,0.8055555555555556,16.69876,-0.07848836,10.973943,-0.417622,14.348949,0.13333333333333333,0.0054141483,0.1065996045823209,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,2,0.8055555555555556,18.264807,-0.06264809,13.417312,-2.7275732,14.906169,0.06666666666666667,0.011083992,0.16898149776004473,0.13333333333333333,0.5333333333333333,0.4,id,catalogue_120,False,False,True
encoder,id,3,0.8055555555555556,21.13615,-0.2090285,13.438316,-3.2177944,14.058599,0.13333333333333333,0.012408447,0.15441622124239787,0.13333333333333333,0.26666666666666666,0.13333333333333333,id,id,False,False,False
encoder,id,0,0.8333333333333334,20.970018,-0.6050771,12.031138,-0.076381125,14.889237,0.13333333333333333,0.0043931883,0.0850815412461448,0.13333333333333333,0.26666666666666666,0.13333333333333333,id,id,False,False,False
encoder,id,1,0.8333333333333334,17.396889,0.16879101,11.084425,-0.8760314,14.303105,0.1,0.0062714894,0.18781524731487043,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,2,0.8333333333333334,17.835705,0.6116211,11.343561,-2.4001944,13.5126915,0.06666666666666667,0.019248474,0.10259832058751066,0.26666666666666666,0.4,0.13333333333333336,id,id,False,False,False
encoder,id,3,0.8333333333333334,20.438757,-0.14136568,11.329035,-1.1210258,14.430759,0.13333333333333333,0.0061478973,0.07392955434319702,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.8611111111111112,19.144337,-0.121008106,12.9172535,-1.614338,14.971283,0.13333333333333333,0.007657536,0.11885049318071093,0.2,0.3333333333333333,0.1333333333333333,id,id,False,False,False
encoder,id,1,0.8611111111111112,17.967352,0.36613318,11.303982,-1.4896057,14.195636,0.1,0.006257121,0.17223081488495753,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,2,0.8611111111111112,18.497828,-0.09237545,10.996181,-0.40389082,14.361123,0.06666666666666667,0.005942726,0.09365294232316757,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.8611111111111112,21.132273,-0.08184253,11.04866,-0.42534056,14.420303,0.1,0.0044671255,0.08617971356245344,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.8888888888888888,17.494898,0.80353993,14.136736,-3.9368083,15.008229,0.13333333333333333,0.0056795874,0.2241694900639364,0.4,0.4,0.0,id,id,False,False,False
encoder,id,1,0.8888888888888888,18.617533,0.24056315,11.595124,-1.383245,14.465897,0.1,0.0031010946,0.13714701298562604,0.0,0.2,0.2,id,id,False,False,False
encoder,id,2,0.8888888888888888,19.14789,-0.1262974,11.10185,-0.39224365,14.37161,0.06666666666666667,0.004253638,0.09878437812588296,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.8888888888888888,21.80801,-0.13035384,11.172049,-0.4066759,14.4506855,0.06666666666666667,0.004210687,0.11784819922223412,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.9166666666666666,16.987576,1.0247934,13.938648,-3.6711838,15.3634815,0.16666666666666666,0.0030702273,0.08968483967814937,0.6666666666666666,0.5333333333333333,-0.1333333333333333,catalogue_120,catalogue_120,False,False,False
encoder,id,1,0.9166666666666666,19.254107,0.22529946,11.70738,-1.4904335,14.467875,0.03333333333333333,0.0028244217,0.11618719712500496,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,2,0.9166666666666666,19.7769,-0.023727965,11.517432,-0.69076526,14.712374,0.06666666666666667,0.0034431578,0.18687743602163748,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.9166666666666666,22.430822,0.1402534,11.781257,-0.9732728,14.810214,0.06666666666666667,0.0026470185,0.14446177098882249,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
